signum,transliteration,english
U 201 $,· þiagn · uk · kutirfR · uk · sunatr · uk · þurulf · þiR · litu · risa · stin · þina · iftiR · tuka · faþur · sin · on · furs · ut i · krikum · kuþ · ialbi ot ans · ot · uk · salu,"Þegn and Gautdjarfr(?) and Sunnhvatr(?) and Þórulfr, they had this stone raised in memory of Tóki, their father. He perished abroad in Greece. May God help his spirit, spirit and soul."
U 202,× orikia × auk × ikul × litu × raisa × stain × ... ...biurn × faþur sin ×,"Órœkja and Ígull had the stone raised ... ...-bjôrn, their father."
U 203,ali lit -... ...-(i)n þino ' aftiR ' ulf sun sin ' faþur ' fraikirþaR ' i uisbi ' rit is ristit,"Áli/Alli had this stone raised in memory of Ulfr, his son, Freygerðr in Vestbyr's father. (This) is carved rightly."
U 204,biurn × auk × uikuntr × litu raisa × stin × eftiR × suin × fostrsun × sin,"Bjôrn and Végunnr had the stone raised in memory of Sveinn, their foster-son."
U 205 †,[...ilfR · iak ...],...-elfr cut ...
U 206 †,[... ...itu · staia hkun f...],... had the stone cut ...
U 207,ulfr ' auk ' þurmontr ' auk ' kamal ' lata ' reis(a) þisa ' stina ' þar + eftR ' faþur ' sin ',Ulfr and Þormundr and Gamall have raised these stones here in memory of their father.
U 208,ristu ' merk(i) at ' man ' metan ' sunir ' alkoþir ' at ÷ sin ' faþur sterkar usiti ' rsti stina,"In memory of their father Styrkárr, excellent sons carved/raised the landmark in memory of a venerable man. Véseti carved the stones."
U 209 $,þurtsain × kiarþi| |if×tiR irinmunt × sun sin auk| |kaubti þinsa bu × auk × aflaþi × austr i karþum,"Þorsteinn made (the stone) in memory of Erinmundr, his son, and bought this estate and earned (wealth) in the east in Garðar (Russia)."
U 210,finuiþr ' auk ' hulmkaiR ' litu ' kera ' merki ÷ at ÷ hulmkut ' faþur ÷ sin ÷ iþinui ' at ' bonta sin ' ybiR ' iak,"Finnviðr and Holmgeirr had the landmark made in memory of Holmgautr, their father; Heðinvé in memory of her husbandman. Œpir cut."
U 211 $,iufriþ · let · stain · hkua · eftR · sbie... ...ta · sin ·,"Jófríðr had the stone cut in memory of Spjalli(?), her husbandman."
U 212 §A,× iarlibaki × lit × raisa × stan + þina × a... ... ...kuan + han × ati ain × tabu × alan × -... ... ont hans + §B × iarlabaki × lit raisa × stain × þin- at sik kuikuan × auk × þinkstaþ × þina × karþi + auk × ain ati + alt hu-(t)ari × þita +,"Jarlabanki had this stone raised in memory of himself while alive. He alone owned all of Tábýr. May God help his spirit. §B Jarlabanki had this stone raised in memory of himself while alive, and made this Assembly-place, and alone owned all of this Hundred."
U 213,...k × s... [...(n)... ...u...],... ... ... ...
U 214,uk × inkiber × eftiR × buanta × sin ' han ' troknaþi ÷ a ' holms ' hafi ' skreþ ' knar ' hans ' i ' kaf þriR ' eniR ' kamo ' af,And Ingibjôrg in memory of her husbandman. He drowned in Holmr's sea - his cargo-ship drifted to the sea-bottom - only three came out (alive).
U 215,[þaniltr · uk · olfil](r) · [li](t)(u) s[t]ain × e(f)[tiR faþor · uk broþor sin ·],Ragnhildr(?) and Ulfhildr had the stone (raised) in memory of their father and brother.
U 216,iuan ÷ lit ÷ raisa ' staina + ef... ' ay(s)-(a)in + faþur ' sin ÷ drosboi ÷ risti,"Jóhan had the stones raised in memory of Eysteinn, his father. Drósbúi carved."
U 217 $,[ikifastr lit bro kiarua i]ftR · s...,Ingifastr had the bridge made in memory of ...
U 218 †,°,°
U 219 M,an(d)ur ÷ (t)elht(i) þinna fakra sten : host ',Andorr/Arnþórr shaped this fair stone ...
U 220 M,[dafiþ] (t)ælhdi,Dávið shaped.
U 221 $,(i)(g)(u)nf... ... iftiR · sikf... ...,Gunnfastr(?) ... in memory of Sigfastr(?) ...
U 222 †,[... sten : þansa : u(k) : iþun...],... this stone and ...
U 223,=U_217,=U_217
U 224 †,[sikiR · in · aR · sa · slikum · mirki · uR · bru ... · karþi · at · sin · faþu... ... uaþ · an · s...],Siggeirr(?) ... landmark ... bridge ... made in memory of his father ...
U 225,... uk · arkil · uk · kui · þiR · kariþu · iar · þikstaþ ... ...unu · iki mirki · maiRi · uirþa · þan · ulfs · suniR · iftiR · kir... ...iR · suinaR · at · sin · faþur,"Ulfkell(?) and Arnkell and Gýi, they made the Assembly-place here ... No landmarks will be more (great), than (the ones) the sons of Ulfr made in (his) memory; able lads in memory of their father."
U 226,ristu · stina · uk · staf · uan · uk · in · mikla · at · iartiknum uk kuriþi · kas at · uiri · þu mon i krati · kiatit lata kunar ik stin,"(They) raised the stones and worked(?) the staff also, the mighty one, as marks of honour. Gyríðr also cherished her husband: he will therefore be commemorated in weeping. Gunnarr cut the stone."
U 227,× u(l)[k]il × lit × raisa × istain × iftiR × fraistain × bruþur isin × a[uk × k]u[ntru] × ifti sun sin ×,"Ulfkell had the stone raised in memory of Freysteinn, his brother; and <kuntru> in memory of his son."
U 228 †,[iiuk · si... ...aii... tit],... ... ... ...
U 229,halfntan ÷ auk ' tubi ÷ litu ' risa ' stin ' at ' huta ' faþur ' sin ' sun · þorbiarn ÷ ybir ÷ risti · ruan,"Halfdan and Tobbi/Tubbi had the stone raised in memory of Oddi, their father, Þorbjôrn's son. Œpir carved the runes."
U 230,°,°
U 231,iþinui ' uk ' austain ' uk ' ulfr ' uk · ol(a)[fr · litu · raisa · s]tain · iftiR hal(f)tan faþur sin,"Heðinvé and Eysteinn and Ulfr and Ólafr had the stone raised in memory of Halfdan, their father."
U 232,tosti ÷ uk ' sihus ' uk ' sihmar ' litu ' raisa ' sta-- · iftiR ÷ tuba ÷ faþur · sin,"Tosti and Sigfúss and Sigmarr had the stone raised in memory of Tobbi/Tubbi, their father."
U 233 $,ilafr ' uk ' osmuntr ' uk ' istain ' litu ' risa stain ' iftiR ÷ olaf ' faþur ÷ sin ÷ in ' k[uþluk ' at ' t]an ' sun si[n],"Eilafr and Ásmundr and Eysteinn had the stone raised in memory of Ólafr, their father; and Guðlaug in memory of Danr, her son."
U 234,=U_235,=U_235
U 235 $,+ ulef[R × auk × þ](u)riR × auk × (t)ufa × [rstu · stin × þi](n)a iftiR × kuþmut × ku[þan · bota],"Óleifr and Þórir and Tófa raised this stone in memory of Guðmundr, the good husbandman."
U 236,' ulfs arfar ' i linteu ' lata ' raisa ' þisa ' staina ' eftR ' faþur ' sin ' uk ' broþur ' uk ' bru ' karþu × uiseti hiuk,Ulfr's heirs í Lindey have raised these stones and made the bridge in memory of their father and brother. Véseti cut.
U 237,[karþar · auk · fuluhi · ... s...]ref ' [auk · sibi · auk · sihuat]r ' þe[i](r) [bereþr · lata · reisa · þina '' stein · at ·] (f)aþur ' sn ' uf · auk ' suein ' [b]roþu[r '] sin ' k(o)[þ ialb]... ... þi(u)...,"Gerðarr and Fullugi and Sigreifr(?) and Sibbi and Sighvatr, these brothers have raised this stone in memory of their father Ulfr and (in memory of) Sveinn their brother. May God help ... ..."
U 238,' astriþ ' lit reisa ' þina ' stein ' eftiR sun sin ' suein : auk × ulf × bonta ' sin ',Ástríðr had this stone raised in memory of her son Sveinn and Ulfr her husbandman.
U 239,i(k)a lit hkua · staina · ... ...a -o--a ... ----kru-...,Inga had the stones cut ... ... husbandman ... ...
U 240,tan auk hus(k)arl + auk suain + auk hulmfriþr × þaun (m)(i)(þ)kin litu rita stin þino × aftiR halftan + fa(þ)ur þaiRa tans ' auk hum(f)riþr at buanta sin,"Danr and Húskarl and Sveinn and Holmfríðr, the mother and (her) sons, had this stone erected in memory of Halfdan, the father of Danr and his brothers; and Holmfríðr in memory of her husbandman."
U 241,n tan auk huskarl ' auk sua(i)n ' l(i)tu rita stin aftiR ' ulfrik ' faþurfaþur sino ' hon hafþi o| |onklanti tuh kialt| |takit + kuþ hialbi þiRa kiþka salu| |uk| |kuþs muþ(i),"And Danr and Húskarl and Sveinn had the stone erected in memory of Ulfríkr, their father's father. He had taken two payments in England. May God and God's mother help the souls of the father and son."
U 242,...- × auk × st[u]... ... ...- × (r)(a)(i)(s)(a) × ...,... and ... ... ... raise ...
U 243 †,[holmlauk · uk · holmfrþ · lata · reisa · steina · eftR · fasta · uk · shfast · sunu · sina · þiR · to i hoitauaþum],"Holmlaugr and Holmfríðr have raised the stones in memory of Fasti and Sigfastr, their sons. They died in (their) christening robes."
U 244,fasti ' lit · hkua · stain · iftR · fastulf · sun ÷ sin,"Fasti had the stone cut in memory of Fastulfr, his son."
U 245 †,[· rauþr · auk · biarn · litu · raisa · stein · eftR · mak sin · sikat · koþ hialbi ont hns ·],Rauðr and Bjôrn had the stone raised in memory of their kinsman-by-marriage Sighvatr. May God help his spirit.
U 246,-ia · -n · eftiR · h(l)...,... ... in memory of ...
U 247,kasla[uk ·] lt [hkua ·] s[tai](n) [·] i[f]tiR · ketil · broþu(r) [s](i)n [su]ain (r)[sti],"Fastlaug(?) had the stone cut in memory of Ketill, her brother. Sveinn carved."
U 248,°,°
U 249 $,kunuiþr · lit · stain · hkua · auk · kase · eftiR · suartaþa faþur · sin ma(n) k--na,"Gunnviðr had the stone cut, and Kasi/Kassi/Gási (too) in memory of Svarthôfði, their father, a good(?) man."
U 250 $ §P,...-lr-... §Q ...-lr (×) ...,... §Q ... ...
U 251,fasti · lit · hkua · runar · þisar · iftR fastulf · sun sin,"Fasti had these runes cut in memory of Fastulfr, his son."
U 252,bryniulfr ' uk ' hulfr ' uk ' hu-... ... ...-ain ' aftiR ' kuþlah ' moþur ' sin,"Brynjulfr and Ulfr and ... ... the stone in memory of Guðlaug, their mother."
U 253 $ §A,· kuþrlaug · lit · hk-...- · stain · iftiR · su...-u · b(u)nta · sin §B ...--- · auk · fasti · þaiR · ...,"Guðlaug had the stone cut in memory of ... her husbandman. §B ... and Fasti, they ..."
U 254,...- ' rita ' s...,... the stone erected
U 255,× iluki × lit × rais(a) × ---(n)(a) × ----R × biarn × broþur × sin × auk × giluk × at × sun sin ×,"Illugi had the stones raised in memory of Bjôrn, his brother; and Gillaug in memory of her son."
U 256,× inkialtr × auk × heminkr × litu × raisa × staina × eftir · ulf × faþur × sin ×,"Ingjaldr and Hemingr had the stones raised in memory of Ulfr, their father."
U 257,...r · risti runaR þisaR,... carved these runes.
U 258 $,kunar × uk × sasur × þiR × litu × risa × stin × þina × iftiR × kiRbi(a)rn × faþur × sin × sun × ui(t)kars × i × (s)u--unisi × on × trabu × nurminr × o kniri × asbiarnaR,"Gunnarr and Sassurr, they had this stone raised in memory of Geirbjôrn, their father, Vittkarl/Hvítkarr of Svalunes's son. Norwegians killed him on Ásbjôrn's cargo-ship."
U 259,kari × m(u)[n]ulfs × arfi × [lit] ... [a]t × frusta × sun sin,"Kári, Munulfr's heir, had ... in memory of Frosti, his son."
U 260,× kismuntr × auk × uikinkr × litu ... ...(t)a... ...iR sikuast × faþur × sin ×,"Gísmundr and Víkingr had ... the stone in memory of Sigfastr, their father."
U 261 $,iarlaba... lit × raisa × s[taina × þasa × a]t sik × kuikuan × ¶ auk × bru × þisa × karþi × fur ont [×] s[in]a × auk × ain ati alan tabu,"Jarlabanki had these stones raised in memory of himself while alive and made this bridge for his spirit, and (he) alone owned all of Tábýr."
U 262 †,[...l · lit · r... ... broþur × sin ' en ybiR · risti ru],... had raised ... his brother. And Œpir carved the runes.
U 263 †,[... litu · raisa · stain at frustain sun sin · ka...],"... had the stone raised in memory of Freysteinn, their son ..."
U 264,=U_253,=U_253
U 265,erinui · lit · rista · heli · eftR · ailaif sun sin · koþan,"Erinvé had the rock-slab carved in memory of Eileifr, her good son."
U 266 $,sihstain · auk · uistain · litu · raisa · stain -i-a · e[f]tiR · [inku]ari faþur s[in],"Sigsteinn and Vésteinn had this stone raised in memory of Ingvarr(?), their father."
U 267,× kiluk × lit × rais[a × stina × a]uk × bro × kiara × eftiR biarn × sun × sin ×,"Gillaug had the stones raised and the bridge made in memory of Bjôrn, her son."
U 268,fotr × risti ×,Fótr carved.
U 269,× iluki + lit × raisa × stina × auk × hauk × (k)[iara ef](t)iR × biarn × broþur × sin ×,"Illugi had the stones raised and the mound made in memory of Bjôrn, his brother."
U 270 $,[ikiþur- isina...] ...oy [· stiu nuk · at · kiatilu... faþur · sin krikfarn · k...],"Ingiþóra ... ... and in memory of Ketill-... her father, (a) traveller to Greece(?) ..."
U 271,=U_270,=U_270
U 272,× iafurfost × l... ...- × istain × auk × bru × (k)(i)(a)(r)(u)(a) × ----(R) ...na × sun sin × kuþ ihialbin × sialu × ans ×,Jôfurfast had the stone raised and the bridge made in memory of ... his son. May God help his soul.
U 273,iluhi × lit × s(t)(a)in × rita -- ...- × faþur sin × asur × auk × fuluhi × at × bruþur sin ×,"Illugi had the stone erected in memory of Djarfr, his father; Ôzurr and Fullugi in memory of their brother."
U 274 †,[... lit + raisa + stain + þina + eftiR + inkialt + sun + sin +],"... had this stone raised in memory of Ingjaldr, his son."
U 275,þuri ÷ auk frystain ' litu raisa stain iftiR ' þurstain broþur sin,"Þórir and Freysteinn had the stone raised in memory of Þorsteinn, their brother."
U 276,tihrfR · uk ontsuar · uk fuluki · þiR · litu · risa · stin iftiR · kiR¶biarn · faþur · sin · kuþ · ialbi · ons · ot · uk · sal · uk · kus · muþiR,"Djarfr and Andsvarr and Fullugi, they had the stone raised in memory of Geirbjôrn, their father. May God and God's mother help his spirit and soul."
U 277,ketilkir · l[it] · stain · hkua · iftiR · asur · bota sin · auk · ulfR · lit · hkua · iftR · biarn,"Ketilgerðr had the stone cut in memory of Ôzurr, her husbandman; and Ulfr had (it) cut in memory of Bjôrn."
U 278,aus(t)... ... ...(n) · faþ... ...,Eysteinn(?) ... ... father(?)
U 279,biarn + uk ' ihulfastr uk × ion + litu kiara ' (b)ro ' at ' þorsti(n) ' broþur sin ybiR ' risti runa,"Bjôrn and Ígulfastr and Jón had the bridge made in memory of Þorsteinn, their brother. Œpir carved the runes."
U 280,uibiarn lit · hkua stain · iftiR · kuna totur · kunu sina,"Vébjôrn had the stone cut in memory of Gunni's daughter, his wife."
U 281,× [ui](b)iarn × auk × huskarl × litu [r]...[a ×] (s)tain × iftiR × siba × faþu(r) × (s)[i]n ×,"Vébjôrn and Húskarði had the stone raised in memory of Sibbi, their father."
U 281B $,°,°
U 282 †,[... lit raisa s... ...],... had the stone raised ...
U 283 †,[× sibi × auk × irmuntr × auk × þoriR × litu × raisa × stain × iftiR × s(u)... ... ...-- (h)(a)n · to × austr × sun × kismuntaR],"Sibbi and Ernmundr and Þórir had the stone raised in memory of ... ... ... He, Gísmundr's son, died in the east."
U 284,suain · risti · runar · þisar · ik^til · lit · hkua · auk · mani · þaiR · litu · hkua iftR · kuna · faþur · sin,"Sveinn carved these runes. Ketill had (the stone) cut and Manni/Máni, they had (it) cut in memory of Gunni, their father."
U 285,[h...luk × lit + raisa ×] (s)taina × eftiR × olaif × sun sin × auk × eftiR × ketil[munt × broþur] ...n ×,"Holmlaugr(?)/Holmlaug(?) had the stones raised in memory of Óleifr, his son and in memory of Ketilmundr, his brother."
U 286,× hu... uk × kiluk × litu × raisa × stain × eftiR × o(l)... ...,Holmlaugr(?)/Holmlaug(?) and Gillaug had the stone raised in memory of Óleifr(?) ...
U 287,giulakr lit raisa stain eftiR sun ' sin ' ingifast ' auk ' inguaR ' (u)(k) ' at ' broþur ' sin ' in ' ybiR [ri]sti ' runa,Kjallakr(?)/Kjullakr(?) had the stone raised in memory of his son Ingifastr; and Ingvarr also(?) in memory of his brother. And Œpir carved the runes.
U 288,olafr ' uk ' kunilr ' litu ' raisa ' stain ' eftR ÷ kuna ' sun ' sin ' uk ' ketil ' lit ÷ eftiR ÷ broþur ' sin ' ybir ' risti ' runa,"Ólafr and Gunnhildr had the stone raised in memory of Gunni, their son; and Ketill had (it raised) in memory of his brother. Œpir carved the runes."
U 289,...r × auk hulm[fastr × litu × risa stina × iftiR ×] (h)ulmkiR × faþur × sin trink hifan,"... and Holmfastr had the stones raised in memory of Holmgeirr, their father, a competent valiant man."
U 290 †,[... uk × k(i)... ... f...],... and ... ... ...
U 291,...ri---...,...
U 292,...kaþfari ' litu ' rai-... ... ...luha ' faþur ...,"...-fari had raised ... ...-lugi, father ..."
