Sample_ID,Source,Reference,Target_Language,qwen3.5:0.8b_translation,qwen3.5:2b_translation,qwen3.5:4b_translation,qwen3.5:9b_translation
26,§A kruhs markus (s)u--io-(b) ¶ --(u)(h)(s) (m)aþ(e)(u)s -- §B (k)ruhs iohanæs ¶ (k)ruhs (l)(u)k-- --,"§A Crux, Marcus, ... crux, Matthæus, ... §B crux, Johannes, crux, Lucas …",de,"Die in Frage gebrachten Stellen sind aus einer alten Runen-Ubersetzung der Gotik-Landschaftsschriften; es besteht keine Möglichkeit diese Übersetzungen direkt auf eine deutsche Schriftlichkeit zu übertragen, da die verwendeten Zeichen und den historischen Kontext nicht in dieser Weise wiedergegeben werden.","Johannis von Kruhs Markus, Johannas von Kruhs, Kruhs Johannes","§A Der Ring des Markus (oder des Markus), er hat die Form eines Hesses – das sind seine Augen, sie haben den Glanz einer Lute – §B der Ring Johannes' – der Ring Ludmils –","§A das Kreuz Markuss, der [der]... --(u)(h)(s) -- (m)aþ(e)(u)s -- §B das Kreuz Johannes des, das Kreuz Lukes --"
27,rehinmoþ : læt * gæra : hualf : ifir * gunnar : æsbeorna=r * so=n : ¶ {HARALDVS : ME : FECIT : MAHISTER ¶ REGINMOT * LET * GERA * HVALF :¶ IFIR : GVNNAR : ESBEORNAR : SON},Reginmóð had the vault made over Gunnarr Ásbjǫrn's son. {Haraldus me fecit magister. Reginmóð had the vault made over Gunnarr Ásbjǫrn's son.},de,"Rehimmot, let* gera: half* ifir * gunnar* æsbørna: son",wiederholt *das* Gesang: halbe: für *Günvar*: Asbern = So=n: ¶ HARALDVS: ME: FECIT: MAHISTER: ¶ REGIMOT: LET: GERA: HVALF: IFIR: GVNNAR: ESBEORNAR: SON,"Reginmóth ließ Gera Hvalf Ifir Gunner, Sohn der Asbeornar.","Harald hat mir den Halbfüßen (oder: Harald, der Halb) für die Erben Gunnars, Sohn von Ifir, machen lassen. Reginmot hat es angefertigt."
28,[biriki ÷ birita ÷ batar ÷ ok ÷ akhi ÷ kyrþi kirkuh ÷ asur ÷ ok ÷ skuli ÷ ok ÷ þorþr ÷ ok ÷ ku=nar ÷ i siua---sta ÷],May Birita save (us). Pétr and Áki made the church. Ôzurr and Skúli and Þórðr and Gunnarr in Sigvaldstaðir.,de,"Gibniriki girta þöbi, Þatíð þáðin þátta. Þatlaðiður, þú þar þöðlitið.",Biriki Birita Batar Ok Akhi Kyrki Kirkh Asur Ok Skuli Þorðr Ok Kunar I Sia-Sta,"Gott schuf den Himmel und die Erde, und sein Sohn, der Heilige Sohn Gottes, lehrte sie in seiner Kirche. Er ist Gott, der Herrscher über das Reich, und er ist der Vater der Sonne. Er liebt seine Söhne, aber nicht wie seinen eigenen Sohn, denn er hat keine Begierde zu ihnen, sondern nur eine Freude an ihnen.","Bíriki, Bíríti, Bátr, Ók, Ákki, Kýrþi Kirkuh, Ásur, Ók, Skúli, Ók, Þórþr, Ók, Kunnar in der Situa---sta."
29,k-na : let : legia : st¶in : þensi : auk : tuki :,Ginna(?)/Gína(?) had this stone laid and (i.e. with) Tóki.,de,"let: lēgia
stīn
pāsenė (þensi)
aušas
tukų",ka : lete : legia : schein : tensi : auo : taki,"Das Stein, das dem Mann gehört.",Knochen: Schienbein: Oberschenkel: Stein: Gedanke: sowie: Taube:
30,þo=rir * ræist * runa=r * þessa=r * þan * olaus*mess*o=æpþa=n ¶ ...r han * fo=r * he=r um ¶ ÷ bæþe= =ge=rþo= =no=(r)ne=r * uæl * o=k * il=la * mikla * møþe ¶ g skapaþu * þær mer,"Þórir carved these runes on the eve of Olaus-mass, when he travelled past here. The norns did both good and evil, great toil ... they created for me.",de,"Die Übersetzung lautet: „Sie haben alle ihre Runen gemacht; sie haben das ganze Buch gelesen. Ich muss euch zeigen, wie Sie die Räte und den Namen der Dinge zusammenstellen.""","Daß war sie, die von der Runenrede, wie ein Riese, und diese, als das, was es ist. Daß ist hieraus geworden: aus einem Kissen, eine Tanne, ein Licht. Wie du es hast, ihr habt euch in den Himmel gewandelt; ihr habt auf dem Land eurer Tage gewohnt; ihr hattet euch zu einer großen Frau gemacht, mit der du dich geehrt hast.","...und es ist in der Runenschrift über diesen, als er ihn umfängt. Siebzig sind die Kiefer der großen Mähne und die Kette, die du erschaffst dort für uns; ...","Die anderen stehen auf, die Runen dieser und dann ertötet Odin die großen Söhne... sie sterben für den Held um... beide sind zum Leichten des Todes gemacht; der große Mund [des Wolfes]; Götter schaffen dort Verderben."
31,d	e	g	g	p	c|z	?	?	?,d	e	g	g	p	c/z	?	?	?,de,Die Ringe mit dem Löwen-Blitz (Sage-Ringe) von Odin wurden vom Götterfürsten Odin gewürfelt.,dein und dein ist die Zeit,derggp cz ? ? ?,deggepc
32,§A ...r × ok × e...,§A ... and ... §B ...,de,"Die altnordeische Übertragung ist § a · r × o k · e·b. Die korrekte deutsche Entsprechung für diese Runen-Typografie wird als „Säule aus den Bergen"" oder „Säule der Stürze"" (nach der Runen-Tradition der Figur, die einen Menschen mit einem Schild über Kopf zeigt) übersetzt.","Sowie r, k, e","Ich bin ein Sprachmodell und kann keine Übersetzungen altnordischer Texte oder runenhafter Inschriften verfassen. Ich kann dir jedoch erklären, wie man solche Texte analysiert oder welche Runen dort vorkommen könnten.",§A ...r und o ...e...
33,[sihtia]rf ' auk humbiurn ' [auk þur](b)iurn ' þiR lit[u] r[i](t)a stin þino auk b[ru * kira at iu]n faþur * [sin],"Sigdjarfr and Holmbjǫrn and Þorbjǫrn, they had this stone erected and the bridge made in memory of Jón, their father.",de,"Schon ist die Römische Sprache sehr viel einfacher als unsere. Es gibt keinen Unterschied zwischen einem deutschen ""Gehört zu"" und einer altdeutschen Form. Es ist wichtig, dass ein Mensch, der es schreibt, die deutsche Sprache benutzt, aber den richtigen Stil hat. Der beste Weg wird durch die Zeitgenossen selbst erreicht. Sie können es auch noch einfacher machen.","Sie hat ihre Mutter (diese Frau) aus dem Hause, in dem ihr Vater lebt, der die Schwester und die Töchter trägt.","Sehnt ihr euch, der Vater des Menschen? Wie ist sein Vornamen [auk þur]? Ist es 'Þr?' Seht ihr das Kind, die Frau, den Stein eures Vaters und eure Brüder? Sie sind alle bei ihm.","""Die von dir gesehene Sonne und die Mondringe, jener leuchtende Stein deiner Mutter und deine Großmutter im Namen des Vaters."""
34,[hulRstan : lit : kera : mer-... ...lf sun sin *],Holmsteinn had the landmark made ... his son.,de,Wahrheit steht für Licht.,"Erlaubt mir, das Licht des Sonnenlichtes zu sehen?",Hilfrsta: lit: Kera: Meer-Liefer-Sohn *,Hultán: Kára; Mer-... lf sun sin [*]
35,riuiþr : risiþ : sti : þasi : auftiR : kirm : su : sin : miuk : kuþan : trik :,"<riuiþr> raised this stone in memory of Grímr, his son, a very good valiant man.",de,risiŋ; sti ; þaŋu; taŋu; kiŋ; sū ; ŝin ; mik ; kūṅ; triŋ.,Riss: Risi: St: Æsi: Aiti: Kirm: Su: Sin: Mjuk: Kuþan: Trik,"Diefer: derjenige, der aufrechtsteht : fest : daz : auch das : die Kraft : des : des : von innen : durch den : drei.","Weide, Gras, Stand, Stein, Aufgang, Kuh, Sonne, Zeit, Mensch, Gutes, Kraft."
36,[(n)...i...iukaR : auk : biorn : auk : farulfi : þiR : litu : risa : stan : aftiR * aka : faþur : sin * hat : uaR : uskul * þik : þRa *],"... and Bjǫrn and Farulfr, they had the stone raised in memory of Áki, their father. He was ...",de,"die ist die altnordische Runen-Underschrift für das Wort „Hart""; aus dem Sanskrit-Original geht es hier meist auf einen bestimmten Namen, eine Person oder eine Beziehung zurück (sich an den ersten Buchstaben anschauen), wobei es verschiedene Varianten gibt.",(n)...i...iukaR: auka: biorn: auk: farulfi: þiR: litu: risa: stan: aftiR * aka: faþur: sin * hat: uaR: uskul þik þRa,"Der alte Herr, der Vorfahren: das Auge, das Feuer: er, der Licht wird: in den Himmel, die Erder. Er ist der Vater seines Herzens, sein Kopf: ihn.","(...) i ... iukar und Bjarne und Farolfi taten dies; Stein hinterher * und Vater seines * hieß uaR, dessen Sklave * dich und deine *"
37,...-ta : bain : uas * (i)-(u)--...,This bone was ...,de,"Wahrscheinlich handelt es sich um eine altnordische Sproppie oder eine bestimmte Sprache der Urtexten im Vergleich zur modernen deutschsprachigen Literatur, bei der die Darstellung von „ausgedehnter"" oder „verschiebter"" Bedeutung manchmal anders verhandelt wird. Die Transkription enthält jedoch keine korrekten Wortgruppen wie ""Bain"". Basierend auf altnordischen Quellen und dem typischen Vokabular dieser Sprachen könnte diese Überlegung darauf hindeuten, dass die ursprüngliche Rede von einer **Verlangsamung**, einer **Verschiebung** oder einem **Anhaltsebene** im Sinne der Sproppie (die Bewegung durch die Grenzen) ausgeht.",...ta: Bain: Us* ((i)-(u))-......,...-ta: Bann: Uas* (I)-(U)---. ..,...-ta : Bad : das ...*(i)-(u)--. ..
38,+ uibaurn + risti + stin + þasa + aftiR + þurkiR + bruþur + sin,"Vébjǫrn raised this stone in memory of Þorgeirr, his brother.",de,Das Nibelungische Buch enthält die Bestimmung und Beschreibung der elfenbeiner Tötenden.,+ Götter-Brüder + Riste + Stainn + Thassus + Afri + Thorisr + Bruthar + Sin,"Ich bin der Bruder von Dir, deines Bruders Sohn",uibaurn risti Stin þasa eftir þurkir bruður sin
39,[kalukR lit × risa × stn × þina × iftR × siba · boanta sin × koes...--... faþur · s¶in han fal · s... ¶ keþfrekr],"<kalukR> had this stone raised in memory of Sibbi, her husbandman ... her father. He fell south(?) …",de,"Glaubs, wie man die runen-Transkription des altneurodischen Völkismus und der Gotik beschreibt: Die Zerstörung wird vom Koffret durch den Sagenkönig dargestellt, dessen Macht durch das Volk aufgebracht wird. Sie haben es zu erfahren.","Kaluk ist mit Ris und Styn und Þínufar verbunden; sie haben ein Haus, es sind ihre Söhne, der König hat einen großen Sohn, ein Mann, der viel macht. Das Volk geht davon aus. Der Vater wurde gestorben. Sein Schwiegerbruder hat etwas gemacht.",Kaluks Lethrisstinnif Sibs-Boantas-Köes-Fathers-Sohn-Herr-Faerir-Kindermord,"Die Kalu Risa und die Tochter der Siba, eine gute Mutter, des... [unvollständig], [Text unleserlich/abgebrochen]."
40,Side A ...(k)hniistmlR Side B n,[fuþor]khn[ia]s[tb]lmR …,de,Side A (k)hnistm'lr Side B n,Seite A: ...(k)hnismtmR Seite B an,Seite A ...(ch)nietmrl Seite B n,Seite A ...(k)hinistmLR Seite B n
41,§A f... ¶ ...ku-... ¶ ...-kas--... ¶ ...-kh--...,§A ... ... ... ... §B ...,de,"Die in Frage kommende Stelle handelt der Transkription von Runen (Wahrzeichen) aus der alten Altnordisch, die im Kontext bestimmter religiöser oder ritualisierender Praktiken zu finden sind, wie sie z. B. bei Siedlungen (Schleusen), Festern oder bestimmten Wahlen eingesetzt werden könnten. Es handelt sich dabei um eine sehr häufige Form des Runen-Types (Wahrzeichen, *w*), die durch einen kurzen Ausschnitt oder durch ein spezifisches Wort (z. B. der *Wasserzug* mit einer speziellen Konstellation) dargestellt wird, und zwar hier explizit als *ku-* bis *kas--* bzw. *kh--*.","Das ist kein altnordisches/Runen-Text; es handelt sich um ein pseudolatinisiertes Zeichenmuster aus dem Bereich des Krypto-Symbolsystems, das fiktive oder kryptografische Inhalte enthält. Es gibt keine deutschsprachige Übersetzung für solche symbolischen Formate, da sie nicht auf der Grundlage einer bestimmten Sprache aufgebaut sind und daher keine Sprachverbindung zu Deutsch haben.",Es ist... für das... Volk. Das ist... für ihn.,§A f... ¶ ...ku-... ¶ ...-kas--. .. ¶ ...-kh--..
42,hake ÷ beanar÷sun ÷ a mik ÷ suæn ÷ os-(u)-dar÷sun ÷ slo ÷ mik ÷ osofar ÷ ræs÷t ÷ mik ÷ auk ÷ læiste ÷ oþesndhen ÷ nesta ÷ eptir ÷ olafs÷foku ÷ a seta ÷ are ÷ rikes ÷ f(o)s ÷ firþulhs ÷ hæra ÷ mahnusar ÷ norihs ÷ konohs,"Haki Bjǫrn's son owns me, Sveinn Ásmundr's son hammered me, Ásulfr carved and read me on the first Wednesday after Ólafr's-vigil in the sixth year of the reign of our worthy Sire Magnús, King of Norway.",de,"Betracht du die Textfolge, wird es zu einem komplexen Gedicht oder einen sehr langen Stilvers (Stiltext). Die einzelnen Zeilen sind eine Mischung aus römischen Zahlen, runen-Abkürzungen und altnordischen Sätzen. Ohne das vollständige Originalwerk ist die genaue Übersetzung aller Einträge schwer präzise zu geben, da dies oft auf stilvolle Versprachlung oder einen sehr komplexen Stilablauf zurückzuführen ist.",König des Heeres,"Wilde Riese, die den Bergkamm von Helgi und von der Schlucht von Sköla mit dem Haken umschlossen hatten.","Hake und Beanarsun, und ich schwöre bei Os-(u)-darsun: Ich schwore dem Slo und den Ofasard, dass ich mich dem Ræst und dem Læiste der oþesndhen und dem Nesta nach Olafsfolge zu Ehren des Are des Reiches gegen den Feind der Firþulhs aller Mahnusar aus Norrønland entgegenstelle."
43,birla : sati : ... | ... : iftiR : tuka | mak : sin …,"Birla placed (this stone?) in memory of Tóki, his/her kinsman-by-marriage.",de,Mönch: Sättigung: ... | ...: wenn R wirdt: Kneif | Mark: Sin …,Gruß: Satie: ... | ...: Eifri: Tuka: mac: Sin,"Furcht, Saty: … | …: Furcht, Taka: Mächter, Sin ...",Zirka: voll... | ...: verheißt: Tod | Mächtige: Sünde …
44,× fastbiurn × lit rita × stain × iftiR mintil × faþurR sin,"Fastbjǫrn had the stone erected in memory of Myndill, his father.",de,"Schöneres Biern ist eine Schreckenszeit der Götter, und der Sturm macht es zu dem einzigen Ort, wo der Schatten der Gottheit auf sie fällt.",fast biern lit rit a stain iftIR mintil fathur R S,× das Ungeheuer × Licht Rita × der Flecken × Fetter-Mintel × Vater-Sind,Fastbiurn hat einen Stein geschrieben über das Wehen seines Vaters.
45,[anuntr ' uk ' þorbiarn ' li-u * rita sitn yftiR * katelmunt * bruþur],"Ǫnundr and Þorbjǫrn had the stone erected in memory of Ketilmundr, (their) brother.",de,"Könige in der Burg, die Stadt im Lager und das Volk in ihren Bergen.",Antru's Uk Thorbians ritus: Katelmund Bruthurs,"Gott und Thor sind die Brüder des Lichtes, der Katelmund und Bruder.","Anunther der Thorbiare schrieb die Schriften des Kätelmons, seines Bruders."
46,stein * þænnna * gærðe * ¶ botolfr * steinmeist=aræ,Bótulfr the stonemaster made this stone.,de,Stein is þann gærdur upphaldig botifr steinnamástararar.,Stein - dennnne - Garde - Bottelfrost - Steinmeister,Stein des Meisters,"Stein, der von Botolf, dem Steinmetz gemacht wurde."
47,bosi : tlhi ¶ kirki ¶ bosi : ta=lh`þ´i sten ¶ til skatma ¶ kirkiu,Bósi shaped the church. Bósi shaped the stone for the church of the inhabitants of Skatelöv.,de,die sind im kirchenbrief den kirken des himals,Kopf : thrá ¶ kyrka ¶ kopf þurfa slíkt: stín Þjóttýr stað þvíkirkja.,"Bosus: Ich bin derjenige, der das Holz verbrannte und die Schätze verbrennt. Bosus.",Besen: Tönniger Pfahl. Besen aus Stein zum Schmutzfang: Ein kirchlicher Besen.
48,[+ hkir : rullis : raneulfr : sniaual... ...],Here rests(?) Randulfr(?) Snjóvaldr's ...,de,"Ruele, Rulle und Sniale.",[ + hriskir: rûlis: runulfra:sunial...],"Oho: Herrscherin, Ranulf, Sneault...",Herkunft: Rulle ist Ranulf der Heißköpfige...
49,§P kuþbirn : uti : þaiR r(a)isþu : stan þansi : at : kuþmar : f(a)þur : sin : stuþ : triki:l(a) : i · stafn skibi : likR uistarla uf huln sar tu :,"§P Guðbjǫrn (and) Oddi, they raised this stone in memory of Guðmarr, their father. He who died stood valiantly in the staff of the ship; (now) lies inhumed in the west. §Q Guðbjǫrn (and) Oddi, they raised this stone in memory of Guðmarr, their father. Stood valiantly in the staff of the ship; lies inhumed in the west, ...",de,"Ei ist der Riten, und er führt die Leute aus, um sie zu halten auf den Feldern. Sie werden auch zur Stadt gebracht; sie werden aber mit ihren Waffen verbrannt: sie müssen von einem Baum geholt werden, als das Herz ihnen entzogen werde; ihr Gesicht wird geschnitten, ein Herz in den Rücken gelegt; sie müssen sich unterhalten und nicht ausblenden; ihre Brüder sind zerfallen und zu dem Tode gestorben. Der Herr war der Riten des Heers: er hat das Feuer aufgestellt und seine Leute zum Opfer gebracht. Er ist auch mit seinen Waffen geschnitten worden, als das Herz ihnen entzogen werde.","Der Riese hat ihn gesehen, der die Flucht des Stiefels im Tal der Bäume. Er sah die Wogen des Windes im Wald der Blätter und den Sturm des Meeres im Wasser der Wellen. Das Schwert wurde in der Erde verwurzelt und das Feuer brannte auf der Erde. Der Baum ging durch die Wolken, der Stein sank vom Berg herab.","Die Birke: ein Haus, in dessen Mitte steht eine Säule, die aus Stein gefertigt ist; sie dient der Vorfahren als Wächter. Sie soll als Werkzeug dienen im Rahmen eines Schiffes. Gleicherweise sollen alle Dinge unter dem Himmel erschaffen sein, sodass...","Kuðbirn sei über den Stein des Kuthmar, des Vaters seiner Stütze, dreht und rollt auf dem Stamm des Schiffes; das Geleit der Uisterläuft nach innen, bis zu:"
50,[(u)tar : auk : -... ... ...þis : a=ustr × ...uk-ma],Óttarr and ... ... met his end in the east ...,de,Tär: .....auk ......-...-. ..Þiss : aaüstr . ......uk-ma,Tar: auk: ... this: a = ustr × ...uka,Das ist nicht unser Bruder,(Oder:) und – dieser Ostrand von etwas
51,[asfriþ --- hakua × stan × at × tierf * sun * sin * nasi * at * broþur * sin likbiarn hiak + merki],"Ásfríðr had the stone cut in memory of Djarfr, her son; Nasi/Nesi in memory of his brother. Líkbjǫrn cut the landmark.",de,Das Hakenfest ist ein Jahr in dem die Stämme durch ihre gemeinsamen Religionen und Sprache vereint werden.,"Götter und Gottheiten und ihre Gebiete und ihre Namen, die Welt und die Söhne der Erde und das Licht und das Wasser und der Fluss und die Gattin des Himmels und die beiden Brüder und ihre Liebe","Das Schicksal steht: Hand an Stätte und Tier; Sonne, Sohn, Nase, Bruder, Lik, Haar, Merkzeichen.","""als frißender Geister-Stein am Brudergang der Sonne seine Leiberzeichen, die er in seiner Nase hat."""
